,Patient_loc,Responder_loc,duration_Responder,route_Responder,Indirect_Responder_loc,AED_loc,duration_AED,route_indirect_Responder,Vector_loc,duration_Vector,route_Vector,prob_vec,prob_resp,patient_loc,responder_loc,aed_loc,vector_loc
321,,,10000.0,,No AED,,10000.0,No AED,,374.9,,0.5177164284721897,0.5177164284721897,"(4.676571, 50.869829)",No responder,No AED,"(4.6998331, 50.8723536)"
322,,,10000.0,,No AED,,10000.0,No AED,,542.65,,0.3856218458422485,0.3856218458422485,"(4.725594, 50.931295)",No responder,No AED,"(4.6658621, 50.8774603)"
323,,,10000.0,,No AED,,10000.0,No AED,,404.09,,0.4918480198915585,0.4918480198915585,"(4.70704, 50.878176)",No responder,No AED,"(4.6998331, 50.8723536)"
324,,,10000.0,,No AED,,10000.0,No AED,,418.79,,0.47931425153156226,0.47931425153156226,"(4.714812, 50.881713)",No responder,No AED,"(4.6998331, 50.8723536)"
325,,,104.0,,No AED,,10000.0,No AED,,785.94,,0.25154902082917807,0.5893034144903087,"(4.694999, 50.932502)","(4.695144231270735, 50.93123599224656)",No AED,"(4.6658621, 50.8774603)"
326,,,88.37,,"(4.702987933060028, 50.87979524876781)",,,,,409.21,,0.48744574995881373,,"(4.708154, 50.884128)","(4.708209834315699, 50.88424169488473)","(4.7046611, 50.8810353)","(4.6658621, 50.8774603)"
327,,,10000.0,,No AED,,10000.0,No AED,,354.06,,0.5370133078714424,0.5370133078714424,"(4.653801, 50.856571)",No responder,No AED,"(4.6658621, 50.8774603)"
328,,,12.9,,"(4.706371763836498, 50.87693265075111)",,,,,431.22,,0.46896552249926604,,"(4.71234, 50.877812)","(4.713061753270336, 50.87823927111757)","(4.7046611, 50.8810353)","(4.6998331, 50.8723536)"
329,,,10000.0,,No AED,,10000.0,No AED,,80.14,,0.868726851036591,0.868726851036591,"(4.699619, 50.879152)",No responder,No AED,"(4.6953981, 50.8785355)"
330,,,13.77,,"(4.706371763836498, 50.87693265075111)",,,,,585.12,,0.35790927420928953,,"(4.700811, 50.878987)","(4.700986951543588, 50.878991755938415)","(4.7046611, 50.8810353)","(4.6658621, 50.8774603)"
331,,,10000.0,,No AED,,10000.0,No AED,,501.86,,0.4142562757451118,0.4142562757451118,"(4.700929, 50.884107)",No responder,No AED,"(4.6658621, 50.8774603)"
