id,type,address,number,postal_code,municipality,province,location,public,available,hours,complete_address,latitude,longitude
5147.0,,Hertogstraat ,184,3001.0,Heverlee,Vlaams-Brabant,verzorgingslokaal centr in Kwarti,N,,,"184 Hertogstraat, Heverlee, Vlaams-Brabant, Belgium",50.8555502,4.7057077
5217.0,,Technologielaan ,15,3001.0,Heverlee,Vlaams-Brabant,"gebouw C,glvl,gang nst EHBOloka",N,,,"15 Technologielaan, Heverlee, Vlaams-Brabant, Belgium",50.8528664,4.7343369
5403.0,,Kapeldreef ,,3001.0,Heverlee,Vlaams-Brabant,"Imec 1,glvl,inkomhal",N,,,"Kapeldreef, Heverlee, Vlaams-Brabant, Belgium",50.8628119,4.6723105
5404.0,,Kapeldreef,,3001.0,Heverlee,Vlaams-Brabant,,N,,,"Kapeldreef, Heverlee, Vlaams-Brabant, Belgium",50.8628119,4.6723105
5405.0,,Kapeldreef ,,3001.0,Heverlee,Vlaams-Brabant,"Imec 5- 1ste verd, JAVA corner",N,,,"Kapeldreef, Heverlee, Vlaams-Brabant, Belgium",50.8628119,4.6723105
5426.0,,Romeinse Straat ,14,3001.0,Heverlee,Vlaams-Brabant,"EHBO lokaal,glvl,kantoorgebouw",N,,,"14 Romeinse Straat, Heverlee, Vlaams-Brabant, Belgium",50.8444703,4.7370091
5433.0,,Geldenaaksebaan ,464,3001.0,Leuven,Vlaams-Brabant,hoofdingangreceptieglvl,Y,,,"464 Geldenaaksebaan, Leuven, Vlaams-Brabant, Belgium",50.84761169999999,4.7232384
5478.0,,Sint-Maartensdal ,4,3000.0,Leuven,Vlaams-Brabant,"via JP Minckelersstr,onthaal",N,,,"4 Sint-Maartensdal, Leuven, Vlaams-Brabant, Belgium",50.8830582,4.7054199
5747.0,,Smordelsplein,5,3000.0,Leuven,Vlaams-Brabant,,N,,,"5 Smordelsplein, Leuven, Vlaams-Brabant, Belgium",50.8804127,4.7019874
5752.0,,Interleuvenlaan,40,3001.0,Leuven,Vlaams-Brabant,,Y,,,"40 Interleuvenlaan, Leuven, Vlaams-Brabant, Belgium",50.8450309,4.7311424
6033.0,,Kolonel Begaultlaan ,15,3012.0,Wilsele,Vlaams-Brabant,,Y,,,"15 Kolonel Begaultlaan, Wilsele, Vlaams-Brabant, Belgium",50.89191539999999,4.7058934
6045.0,,Brabantlaan ,1,3001.0,Leuven,Vlaams-Brabant,,N,,,"1 Brabantlaan, Leuven, Vlaams-Brabant, Belgium",50.8553066,4.728376
6047.0,,Brabantlaan ,1,3001.0,Leuven,Vlaams-Brabant,,N,,,"1 Brabantlaan, Leuven, Vlaams-Brabant, Belgium",50.8553066,4.728376
6086.0,,Vital Decosterstraat,19,3000.0,Leuven,Vlaams-Brabant,,Y,,,"19 Vital Decosterstraat, Leuven, Vlaams-Brabant, Belgium",50.8795773,4.7056545
6253.0,,Louis Melsensstraat,6,3000.0,Leuven,Vlaams-Brabant,,N,,,"6 Louis Melsensstraat, Leuven, Vlaams-Brabant, Belgium",50.8809818,4.7086963
6467.0,,Brusselse Steenweg,100,3000.0,Leuven,Vlaams-Brabant,,N,,,"100 Brusselse Steenweg, Leuven, Vlaams-Brabant, Belgium",50.885645,4.6775291
6468.0,,Prof. Roger Van Overstraetenplein ,2,3000.0,Leuven,Vlaams-Brabant,,N,,,"2 Prof. Roger Van Overstraetenplein, Leuven, Vlaams-Brabant, Belgium",50.8791637,4.716279
6539.0,,Onze-Lieve-Vrouwstraat ,18,3000.0,Leuven,Vlaams-Brabant,,N,,,"18 Onze-Lieve-Vrouwstraat, Leuven, Vlaams-Brabant, Belgium",50.9050354,4.6738647
6677.0,,Arnould Nobelstraat,38,3000.0,Leuven,Vlaams-Brabant,,Y,,,"38 Arnould Nobelstraat, Leuven, Vlaams-Brabant, Belgium",50.8774564,4.7137954
7047.0,,Interleuvenlaan,,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"Interleuvenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8507187,4.7303674
7211.0,,Romeinse Straat ,20,3001.0,Heverlee,Vlaams-Brabant,,N,,,"20 Romeinse Straat, Heverlee, Vlaams-Brabant, Belgium",50.84546049999999,4.7381287
7212.0,,Milsestraat ,43,3053.0,Haasrode,Vlaams-Brabant,,N,,,"43 Milsestraat, Haasrode, Vlaams-Brabant, Belgium",50.831734,4.726769399999999
7224.0,,Interleuvenlaan ,17,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"17 Interleuvenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8468318,4.7253871
7369.0,,Andreas Vesaliusstraat ,13,3000.0,Leuven,Vlaams-Brabant,,N,,,"13 Andreas Vesaliusstraat, Leuven, Vlaams-Brabant, Belgium",50.8747859,4.7081308
7370.0,,Kasteelpark Arenberg ,10,3001.0,Heverlee,Vlaams-Brabant,,N,,,"10 Kasteelpark Arenberg, Heverlee, Vlaams-Brabant, Belgium",50.8624668,4.6861822
7371.0,,Celestijnenlaan ,200,3001.0,Heverlee,Vlaams-Brabant,,N,,,"200 Celestijnenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8627473,4.6753669
7877.0,,Kapeldreef 75 ,75,3001.0,Heverlee,Vlaams-Brabant,,N,,,"75 Kapeldreef 75, Heverlee, Vlaams-Brabant, Belgium",50.8628119,4.6723105
7943.0,,Ambachtenlaan ,22,3001.0,Heverlee,Vlaams-Brabant,,N,,,"22 Ambachtenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8508645,4.7153244
8376.0,,Interleuvenlaan,33,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"33 Interleuvenlaan, Heverlee, Vlaams-Brabant, Belgium",50.850768,4.729934
8786.0,,Leopold Vandervelenstraat ,28,3000.0,Leuven,Vlaams-Brabant,,Y,,,"28 Leopold Vandervelenstraat, Leuven, Vlaams-Brabant, Belgium",50.8789497,4.7045671
9124.0,,Interleuvenlaan,27,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"27 Interleuvenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8503127,4.734019
9128.0,,Geldenaaksebaan ,277,3000.0,Leuven,Vlaams-Brabant,,Y,,,"277 Geldenaaksebaan, Leuven, Vlaams-Brabant, Belgium",50.854781,4.7203215
9132.0,,Stapelhuisplein,3,3000.0,Leuven,Vlaams-Brabant,,Y,,,"3 Stapelhuisplein, Leuven, Vlaams-Brabant, Belgium",50.8859605,4.704496199999999
9217.0,,Grote Markt,2,3000.0,Leuven,Vlaams-Brabant,,Y,,,"2 Grote Markt, Leuven, Vlaams-Brabant, Belgium",50.8793,4.700369999999999
9218.0,,Vital Decosterstraat,44,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"44 Vital Decosterstraat, Heverlee, Vlaams-Brabant, Belgium",50.8811427,4.704839
9507.0,,Maria Theresiastraat,74,3000.0,Leuven,Vlaams-Brabant,,N,,,"74 Maria Theresiastraat, Leuven, Vlaams-Brabant, Belgium",50.8784211,4.712977
9535.0,,Geldenaaksebaan,227,3001.0,Heverlee,Vlaams-Brabant,,N,,,"227 Geldenaaksebaan, Heverlee, Vlaams-Brabant, Belgium",50.8617055,4.712295
9783.0,,Technologielaan,2,3001.0,Heverlee,Vlaams-Brabant,,N,,,"2 Technologielaan, Heverlee, Vlaams-Brabant, Belgium",50.8528969,4.7255083
9870.0,,Diestsestraat,165,3000.0,Leuven,Vlaams-Brabant,,N,,,"165 Diestsestraat, Leuven, Vlaams-Brabant, Belgium",50.88150109999999,4.7096178
9981.0,,Pastoor Eralystraat,2,3012.0,Wilsele,Vlaams-Brabant,,N,,,"2 Pastoor Eralystraat, Wilsele, Vlaams-Brabant, Belgium",50.9283047,4.7248107
10064.0,,Bondgenotenlaan,140,3000.0,Leuven,Vlaams-Brabant,,N,,,"140 Bondgenotenlaan, Leuven, Vlaams-Brabant, Belgium",50.88081529999999,4.7132325
10215.0,,Kardinaal Mercierlaan,46,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"46 Kardinaal Mercierlaan, Heverlee, Vlaams-Brabant, Belgium",50.868071,4.6939597
10216.0,,Kardinaal Mercierlaan,46,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"46 Kardinaal Mercierlaan, Heverlee, Vlaams-Brabant, Belgium",50.868071,4.6939597
10485.0,,Diestsepoort,1,3000.0,Leuven,Vlaams-Brabant,,Y,,,"1 Diestsepoort, Leuven, Vlaams-Brabant, Belgium",50.8827386,4.714049
10570.0,,Andreas Vesaliusstraat,10,3000.0,Leuven,Vlaams-Brabant,,Y,,,"10 Andreas Vesaliusstraat, Leuven, Vlaams-Brabant, Belgium",50.8741756,4.7061156
10571.0,,Rustoordlaan ,3,3010.0,Kessel-Lo,Vlaams-Brabant,,Y,,,"3 Rustoordlaan, Kessel-Lo, Vlaams-Brabant, Belgium",50.8869565,4.729686399999999
10696.0,,Abdij Van Vlierbeek,15,3010.0,Kessel-Lo,Vlaams-Brabant,,Y,,,"15 Abdij Van Vlierbeek, Kessel-Lo, Vlaams-Brabant, Belgium",50.8919487,4.734271199999999
11066.0,,Interleuvenlaan ,58,3001.0,Leuven,Vlaams-Brabant,,Y,,,"58 Interleuvenlaan, Leuven, Vlaams-Brabant, Belgium",50.8476423,4.737563
11070.0,,Interleuven,58,3001.0,Leuven,Vlaams-Brabant,,Y,,,"58 Interleuven, Leuven, Vlaams-Brabant, Belgium",50.8826624,4.6967705
11140.0,,Interleuvenlaan ,40,3001.0,Leuven,Vlaams-Brabant,,Y,,,"40 Interleuvenlaan, Leuven, Vlaams-Brabant, Belgium",50.8450309,4.7311424
11180.0,,Gaston Geenslaan,14,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"14 Gaston Geenslaan, Heverlee, Vlaams-Brabant, Belgium",50.8648678,4.667943000000001
11185.0,,Diestsesteenweg,3,3010.0,Kessel-Lo,Vlaams-Brabant,,Y,,,"3 Diestsesteenweg, Kessel-Lo, Vlaams-Brabant, Belgium",50.8883109,4.7515505
11187.0,,Kolonel Begaultlaan,,3012.0,Leuven,Vlaams-Brabant,,Y,,,"Kolonel Begaultlaan, Leuven, Vlaams-Brabant, Belgium",50.8958652,4.7062523
11252.0,,Gaston Geemslaan,8,3001.0,Heverlee,Vlaams-Brabant,,Y,,,"8 Gaston Geemslaan, Heverlee, Vlaams-Brabant, Belgium",50.8654367,4.6710378
11298.0,,Keiberg,11,3053.0,Haasrode,Vlaams-Brabant,,Y,,,"11 Keiberg, Haasrode, Vlaams-Brabant, Belgium",50.829584,4.725385
11575.0,,Romeinsestraat,8,3001.0,Leuven,Vlaams-Brabant,,Y,,,"8 Romeinsestraat, Leuven, Vlaams-Brabant, Belgium",50.8455664,4.7365227
11896.0,Fixed Device,Baron Decampslaan,112,3018.0,Wijgmaal,Vlaams-Brabant,Onthaal,Y,Non-Nee,8h-19h,"112 Baron Decampslaan, Wijgmaal, Vlaams-Brabant, Belgium",50.92624,4.70195
12628.0,Fixed Device,Grauwmeer,14,3001.0,Heverlee,Vlaams-Brabant,In de inkomhal van de onderneming,N,,,"14 Grauwmeer, Heverlee, Vlaams-Brabant, Belgium",50.8457862,4.7220448
12629.0,Fixed Device,Ambachtenlaan,3230,3001.0,Leuven,Vlaams-Brabant,In de productiefaciliteiten van de onderneming,N,,,"3230 Ambachtenlaan, Leuven, Vlaams-Brabant, Belgium",50.8465918,4.716440299999999
12708.0,Fixed Device,Geldenaaksebaan,335,3001.0,Heverlee,Vlaams-Brabant,Proximus gebouw inkom,N,,,"335 Geldenaaksebaan, Heverlee, Vlaams-Brabant, Belgium",50.845606,4.728626999999999
12716.0,Fixed Device,Geldenaaksebaan,335,3001.0,Heverlee,Vlaams-Brabant,blok C inkom,N,Non-Nee,,"335 Geldenaaksebaan, Heverlee, Vlaams-Brabant, Belgium",50.845606,4.728626999999999
